player,passes,shots,xg,pressures,recoveries,matches_played,minutes,passes_per90,shots_per90,xg_per90,pressures_per90,recoveries_per90,xg_per_shot,pressure_pass_ratio,attacking_score
Francisco Manuel Rico Castro,217.0,2.0,0.15,45.0,13.0,6,540,36.17,0.33,0.03,7.5,2.17,0.075,0.2073732718894009,7.348000000000001
Francisco Medina Luna,80.0,5.0,0.12,21.0,9.0,3,270,26.67,1.67,0.04,7.0,3.0,0.024,0.2625,5.855
Francisco Román Alarcón Suárez,325.0,13.0,1.14,103.0,25.0,8,720,40.62,1.62,0.14,12.88,3.12,0.08769230769230768,0.3169230769230769,8.68
Gabriel Fernández Arenas,724.0,2.0,0.05,249.0,76.0,11,990,65.82,0.18,0.0,22.64,6.91,0.025,0.34392265193370164,13.218
Gareth Frank Bale,154.0,12.0,1.85,22.0,13.0,4,360,38.5,3.0,0.46,5.5,3.25,0.15416666666666667,0.14285714285714285,8.83
Gerard Moreno Balaguero,187.0,19.0,3.1,116.0,25.0,9,810,20.78,2.11,0.34,12.89,2.78,0.1631578947368421,0.6203208556149733,4.9590000000000005
Germán Alejandro Pezzella,325.0,7.0,0.45,75.0,35.0,9,810,36.11,0.78,0.05,8.33,3.89,0.0642857142857143,0.23076923076923078,7.481000000000001
Germán Darío Lux,153.0,0.0,0.0,1.0,21.0,4,360,38.25,0.0,0.0,0.25,5.25,,0.006535947712418301,7.65
Gerónimo Rulli,386.0,0.0,0.0,1.0,44.0,10,900,38.6,0.0,0.0,0.1,4.4,,0.0025906735751295338,7.720000000000001
Giuseppe Rossi,221.0,24.0,3.57,152.0,34.0,12,1080,18.42,2.0,0.3,12.67,2.83,0.14875,0.6877828054298643,4.434000000000001
Gonzalo Castro Irizábal,415.0,17.0,0.85,110.0,61.0,11,990,37.73,1.55,0.08,10.0,5.55,0.049999999999999996,0.26506024096385544,8.051
Gonzalo Escalante,434.0,9.0,1.01,246.0,57.0,11,990,39.45,0.82,0.09,22.36,5.18,0.11222222222222222,0.5668202764976958,8.181000000000001
Gorka Elustondo Urkola,73.0,0.0,0.0,18.0,3.0,3,270,24.33,0.0,0.0,6.0,1.0,,0.2465753424657534,4.866
Gorka Iraizoz Moreno,447.0,0.0,0.0,1.0,59.0,11,990,40.64,0.0,0.0,0.09,5.36,,0.0022371364653243847,8.128
Grzegorz Krychowiak,298.0,6.0,0.39,86.0,31.0,7,630,42.57,0.86,0.06,12.29,4.43,0.065,0.28859060402684567,8.802000000000001
Guilherme Magdalena Siqueira,312.0,3.0,0.21,83.0,27.0,8,720,39.0,0.38,0.03,10.38,3.38,0.06999999999999999,0.266025641025641,7.929
Gustavo Daniel Cabral Cáceres,373.0,1.0,0.06,83.0,43.0,7,630,53.29,0.14,0.01,11.86,6.14,0.06,0.2225201072386059,10.705000000000002
Heiko Westermann,101.0,3.0,0.2,24.0,5.0,3,270,33.67,1.0,0.07,8.0,1.67,0.06666666666666667,0.2376237623762376,7.069000000000001
Hernán Arsenio Pérez González,241.0,16.0,2.33,135.0,34.0,8,720,30.12,2.0,0.29,16.88,4.25,0.145625,0.5601659751037344,6.769000000000001
Hernán Daniel Santana Trujillo,72.0,2.0,0.04,19.0,12.0,3,270,24.0,0.67,0.01,6.33,4.0,0.02,0.2638888888888889,5.006000000000001
Hugo Mallo Novegil,313.0,1.0,0.02,102.0,22.0,7,630,44.71,0.14,0.0,14.57,3.14,0.02,0.3258785942492013,8.984
Hugo Miguel Almeida Costa Lopes,287.0,3.0,0.08,71.0,15.0,7,630,41.0,0.43,0.01,10.14,2.14,0.02666666666666667,0.24738675958188153,8.334000000000001
Héctor Hernández Ortega,49.0,1.0,0.1,7.0,4.0,3,270,16.33,0.33,0.03,2.33,1.33,0.1,0.14285714285714285,3.38
Iago Aspas Juncal,230.0,13.0,1.19,66.0,31.0,7,630,32.86,1.86,0.17,9.43,4.43,0.09153846153846154,0.28695652173913044,7.215
Idriss Carlos Kameni,91.0,0.0,0.0,0.0,17.0,4,360,22.75,0.0,0.0,0.0,4.25,,0.0,4.55
Ignacio Camacho Barnola,583.0,10.0,0.61,227.0,70.0,11,990,53.0,0.91,0.06,20.64,6.36,0.061,0.3893653516295026,10.903000000000002
Ignacio Cases Mora,288.0,4.0,0.12,124.0,38.0,7,630,41.14,0.57,0.02,17.71,5.43,0.03,0.4305555555555556,8.408999999999999
Iker Muniain Goñi,327.0,15.0,2.0,81.0,42.0,9,810,36.33,1.67,0.22,9.0,4.67,0.13333333333333333,0.24770642201834864,7.877
Isaac Ajayi Success,219.0,14.0,1.87,91.0,31.0,8,720,27.37,1.75,0.23,11.38,3.88,0.1335714285714286,0.4155251141552511,6.114
Ismael López Blanco,508.0,9.0,1.02,136.0,54.0,10,900,50.8,0.9,0.1,13.6,5.4,0.11333333333333334,0.2677165354330709,10.48
Iván Cuéllar Sacristán,348.0,0.0,0.0,1.0,56.0,11,990,31.64,0.0,0.0,0.09,5.09,,0.0028735632183908046,6.328
Iván López Mendoza,132.0,1.0,0.03,28.0,10.0,3,270,44.0,0.33,0.01,9.33,3.33,0.03,0.21212121212121213,8.904
Iván Ramis Barrios,271.0,2.0,0.09,32.0,30.0,7,630,38.71,0.29,0.01,4.57,4.29,0.045,0.11808118081180811,7.8340000000000005
Iñaki Williams Arthuer,127.0,10.0,0.51,55.0,19.0,6,540,21.17,1.67,0.08,9.17,3.17,0.051000000000000004,0.4330708661417323,4.775000000000001
James David Rodríguez Rubio,330.0,12.0,0.68,90.0,25.0,8,720,41.25,1.5,0.08,11.25,3.12,0.05666666666666667,0.2727272727272727,8.74
Jan Oblak,262.0,0.0,0.0,0.0,42.0,12,1080,21.83,0.0,0.0,0.0,3.5,,0.0,4.366
Javier Eraso Goñi,50.0,3.0,0.69,28.0,5.0,3,270,16.67,1.0,0.23,9.33,1.67,0.22999999999999998,0.56,3.7490000000000006
Javier Fuego Martínez,369.0,0.0,0.0,200.0,51.0,7,630,52.71,0.0,0.0,28.57,7.29,,0.5420054200542005,10.542000000000002
Javier Garrido Behovide,254.0,0.0,0.0,60.0,16.0,5,450,50.8,0.0,0.0,12.0,3.2,,0.23622047244094488,10.16
Javier Guerra Rodríguez,102.0,18.0,2.82,82.0,16.0,5,450,20.4,3.6,0.56,16.4,3.2,0.15666666666666665,0.803921568627451,5.44
Javier López Rodríguez,374.0,0.0,0.0,151.0,48.0,10,900,37.4,0.0,0.0,15.1,4.8,,0.4037433155080214,7.48
Javier Varas Herrera,273.0,0.0,0.0,1.0,43.0,7,630,39.0,0.0,0.0,0.14,6.14,,0.003663003663003663,7.800000000000001
Jean-Sylvain Claude Babin,220.0,3.0,0.35,27.0,10.0,7,630,31.43,0.43,0.05,3.86,1.43,0.11666666666666665,0.12272727272727273,6.44
Jefferson Andrés Lerma Solís,566.0,12.0,0.4,149.0,67.0,13,1170,43.54,0.92,0.03,11.46,5.15,0.03333333333333333,0.26325088339222613,8.999
Jerónimo Figueroa Cabrera,439.0,5.0,0.18,92.0,40.0,9,810,48.78,0.56,0.02,10.22,4.44,0.036,0.20956719817767655,9.934000000000001
Jesé Rodríguez Ruiz,130.0,6.0,1.02,32.0,13.0,8,720,16.25,0.75,0.13,4.0,1.62,0.17,0.24615384615384617,3.54
Joan Verdú Fernández,445.0,8.0,0.75,111.0,53.0,11,990,40.45,0.73,0.07,10.09,4.82,0.09375,0.24943820224719102,8.344000000000001
Joaquín José Marín Ruiz,327.0,5.0,0.11,105.0,28.0,8,720,40.88,0.62,0.01,13.12,3.5,0.022,0.3211009174311927,8.367
Joaquín Sánchez Rodríguez,288.0,12.0,0.71,53.0,37.0,9,810,32.0,1.33,0.08,5.89,4.11,0.059166666666666666,0.1840277777777778,6.839
John Guidetti,149.0,17.0,2.82,102.0,28.0,8,720,18.62,2.12,0.35,12.75,3.5,0.16588235294117645,0.6845637583892618,4.535
Jon Ansotegi Gorostola,151.0,2.0,0.18,41.0,2.0,7,630,21.57,0.29,0.03,5.86,0.29,0.09,0.271523178807947,4.416
Jonathan Castro Otto,491.0,5.0,0.43,146.0,49.0,8,720,61.38,0.62,0.05,18.25,6.12,0.086,0.2973523421588595,12.487000000000002
Jonathan Javier Rodríguez Portillo,25.0,2.0,0.2,23.0,3.0,3,270,8.33,0.67,0.07,7.67,1.0,0.1,0.92,1.9020000000000001
Jonathan Rodríguez Menéndez,372.0,24.0,0.72,133.0,44.0,12,1080,31.0,2.0,0.06,11.08,3.67,0.03,0.3575268817204301,6.83
Jonathan Viera Ramos,523.0,19.0,3.43,186.0,44.0,9,810,58.11,2.11,0.38,20.67,4.89,0.1805263157894737,0.35564053537284895,12.445
Jonathan dos Santos Ramírez,162.0,3.0,0.11,51.0,18.0,4,360,40.5,0.75,0.03,12.75,4.5,0.03666666666666667,0.3148148148148148,8.34
Jonathas Cristian de Jesus,113.0,12.0,1.24,92.0,12.0,8,720,14.12,1.5,0.15,11.5,1.5,0.10333333333333333,0.8141592920353983,3.3489999999999998
Jonás Manuel Gutiérrez,31.0,0.0,0.0,23.0,4.0,5,450,6.2,0.0,0.0,4.6,0.8,,0.7419354838709677,1.2400000000000002
Jordi Xumetra Feliu,38.0,2.0,0.45,19.0,6.0,3,270,12.67,0.67,0.15,6.33,2.0,0.225,0.5,2.8100000000000005
Jorge Andújar Moreno,340.0,13.0,1.36,122.0,22.0,9,810,37.78,1.44,0.15,13.56,2.44,0.10461538461538462,0.3588235294117647,8.063
